ASSET_CLASS,ASSET_CD,LOCATION_DETAIL,STEWARD,MAINTAINED_BY,MAINT_INFO,LIFE_CYCLE_STATUS,ASSET_TYPE,TYPE_DESCRIPTION,MINORTYPE,BOOKING_CODE,longitude,latitude,location
FROM INSPECTOR,WHL500,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,5,PLAYERS BENCH,NO BREAKDOWN,B1WHL12,-114.125909414759,51.057644287591,"(51.057644287591, -114.125909414759)"
,GBK607,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,5,PLAYERS BENCH,NO BREAKDOWN,B1GBK03,-114.153920698391,51.0227551316042,"(51.0227551316042, -114.153920698391)"
3 HOOPS STEMMING FROM ONE BASE,COV106,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,1,BASKETBALL HOOP,NO BREAKDOWN,N/A,-114.059201336735,51.1658244416341,"(51.1658244416341, -114.059201336735)"
,GDL881,,CALGARY RECREATION,CALGARY RECREATION,,ACTIVE,5,PLAYERS BENCH,NO BREAKDOWN,BASEBALL 4,-114.162323870539,51.0323545855783,"(51.0323545855783, -114.162323870539)"
,FAI209,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,4,GOAL POST,STANDARD,S1FAI02,-114.057965039769,50.9831947303417,"(50.9831947303417, -114.057965039769)"
,CPF846,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,4,GOAL POST,STANDARD,S1CPF03,-113.93474423542,50.9102655387544,"(50.9102655387544, -113.93474423542)"
,CPF846,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,4,GOAL POST,STANDARD,S1CPF03,-113.93550423316,50.9095044670178,"(50.9095044670178, -113.93550423316)"
,COA793,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,5,PLAYERS BENCH,NO BREAKDOWN,B1COA02,-114.187275047733,51.0588086623314,"(51.0588086623314, -114.187275047733)"
,WIL168,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,4,GOAL POST,STANDARD,S1WIL01,-114.06635231402,50.9622156739067,"(50.9622156739067, -114.06635231402)"
,PAN075,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,4,GOAL POST,STANDARD,S1PAN02,-114.090912640326,51.1621321433599,"(51.1621321433599, -114.090912640326)"
,BDO566,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,5,PLAYERS BENCH,NO BREAKDOWN,B1BDO06,-114.02847178175,50.9479735074254,"(50.9479735074254, -114.02847178175)"
,RUN248,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,5,PLAYERS BENCH,NO BREAKDOWN,B1RUN10,-113.971431247147,51.0754584212274,"(51.0754584212274, -113.971431247147)"
,EVE110,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,4,GOAL POST,STANDARD,S1EVE03,-114.108845516366,50.91713885663,"(50.91713885663, -114.108845516366)"
,RAN033,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,5,PLAYERS BENCH,NO BREAKDOWN,B1RAN17,-114.182689016683,51.1195104601851,"(51.1195104601851, -114.182689016683)"
,BOW005,,CALGARY BOARD OF EDUCATION,CALGARY BOARD OF EDUCATION,,ACTIVE,4,GOAL POST,STANDARD,S5BOW15,-114.176820812192,51.0807402744013,"(51.0807402744013, -114.176820812192)"
,BOW005,,CALGARY BOARD OF EDUCATION,CALGARY BOARD OF EDUCATION,,ACTIVE,4,GOAL POST,STANDARD,S5BOW15,-114.176804406848,51.0813985222097,"(51.0813985222097, -114.176804406848)"
,BOW005,,CALGARY BOARD OF EDUCATION,CALGARY BOARD OF EDUCATION,,ACTIVE,4,GOAL POST,STANDARD,S5BOW16,-114.178478523549,51.0814605046338,"(51.0814605046338, -114.178478523549)"
,LKB970,,CALGARY BOARD OF EDUCATION,CALGARY BOARD OF EDUCATION,,ACTIVE,4,GOAL POST,STANDARD,S5LKB19,-114.062446920259,50.946295565237,"(50.946295565237, -114.062446920259)"
,ROC402,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,4,GOAL POST,STANDARD,S1ROC02,-114.246399929453,51.147828339517,"(51.147828339517, -114.246399929453)"
,LKB458,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,4,GOAL POST,STANDARD,S1LKB13,-114.040140843067,50.9430907269679,"(50.9430907269679, -114.040140843067)"
,LKB458,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,4,GOAL POST,STANDARD,S1LKB13,-114.039330646282,50.9434485854062,"(50.9434485854062, -114.039330646282)"
,LKB465,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,4,GOAL POST,STANDARD,S1LKB31,-114.047173537932,50.9307179571927,"(50.9307179571927, -114.047173537932)"
,LKB458,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,4,GOAL POST,STANDARD,S1LKB13,-114.039869480572,50.9435715111579,"(50.9435715111579, -114.039869480572)"
,LKB458,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,4,GOAL POST,STANDARD,S1LKB13,-114.040289657646,50.9433897972525,"(50.9433897972525, -114.040289657646)"
NO FIELD BOOKING CODE,LKB465,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,4,GOAL POST,STANDARD,S1LKB31,-114.046776180237,50.9303844762865,"(50.9303844762865, -114.046776180237)"
,LKB465,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,4,GOAL POST,STANDARD,S1LKB31,-114.048061387544,50.9302086835233,"(50.9302086835233, -114.048061387544)"
,LKB460,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,4,GOAL POST,STANDARD,S1LKB41,-114.041143512284,50.9359122460661,"(50.9359122460661, -114.041143512284)"
NO FIELD BOOKING CODE,LKB465,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,4,GOAL POST,STANDARD,S1LKB31,-114.046999621754,50.9299760108785,"(50.9299760108785, -114.046999621754)"
,ROC400,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,4,GOAL POST,STANDARD,S1ROC07,-114.246687935517,51.1505390671913,"(51.1505390671913, -114.246687935517)"
,ROC400,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,4,GOAL POST,STANDARD,S1ROC07,-114.246685887092,51.1514368785866,"(51.1514368785866, -114.246685887092)"
,ROC400,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,5,PLAYERS BENCH,NO BREAKDOWN,B1ROC06,-114.24644968198,51.1497840062517,"(51.1497840062517, -114.24644968198)"
,ROC400,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,4,GOAL POST,STANDARD,S1ROC10,-114.247372788907,51.1504847836839,"(51.1504847836839, -114.247372788907)"
,ROC400,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,4,GOAL POST,STANDARD,S1ROC08,-114.24725705141,51.1511885974925,"(51.1511885974925, -114.24725705141)"
,ROC400,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,5,PLAYERS BENCH,NO BREAKDOWN,B1ROC06,-114.246140953782,51.1499794858476,"(51.1499794858476, -114.246140953782)"
,LKB460,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,4,GOAL POST,STANDARD,S1LKB49,-114.04274643033,50.9379248911177,"(50.9379248911177, -114.04274643033)"
,LKB460,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,4,GOAL POST,STANDARD,S1LKB49,-114.042224639194,50.9375885359778,"(50.9375885359778, -114.042224639194)"
,WIL154,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,4,GOAL POST,STANDARD,S1WIL24,-114.057318586779,50.9511192565241,"(50.9511192565241, -114.057318586779)"
,WIL154,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,4,GOAL POST,STANDARD,S1WIL24,-114.058041114145,50.9510933666517,"(50.9510933666517, -114.058041114145)"
